# time[us], force_in[kN], force_out[kN], force_avg[kN]
-1.475995055850576819e+03 3.752710714031940592e-04 5.799017757472437482e-04 4.775864235752189037e-04
-1.474995025331135821e+03 -9.652870389747869693e-05 5.814411057692181776e-04 2.424562009358697471e-04
-1.473994994811695051e+03 5.372756016326693919e-04 1.113088125765627438e-04 3.242922071046160678e-04
-1.472994964292254281e+03 5.340857344685733150e-04 -1.969182692307365555e-04 1.685837326189183662e-04
-1.471994933772813283e+03 5.372949929224210509e-04 -1.937635928894085020e-04 1.717657000165062880e-04
-1.470994903253372286e+03 1.015455111261530331e-03 2.669236753534259257e-04 6.411893933074780741e-04
-1.469994872733931516e+03 1.328275397533862454e-03 -1.969182692307365555e-04 5.656785641515629359e-04
-1.468994842214490745e+03 1.171060515872912123e-03 1.176371693334934336e-04 6.443488426032028052e-04
-1.467994811695049748e+03 8.517247562440937066e-04 5.862871447272835490e-04 7.190059504856886278e-04
-1.466994781175608750e+03 5.323696053254516405e-04 1.515472355769254247e-03 1.023920980547352944e-03
-1.465994750656167980e+03 5.915426587302274517e-05 1.197591204194404894e-03 6.283727350337137791e-04
-1.464994720136727210e+03 5.915426587302274517e-05 1.144254807692034767e-04 8.678987332111311095e-05
-1.463994689617286213e+03 2.179980158731023750e-04 1.144254807692034767e-04 1.662117483211529123e-04
-1.462994659097845215e+03 2.129078023132074341e-04 1.160883372744569698e-04 1.644980697938322088e-04
-1.461994628578404445e+03 -4.139641171307205511e-04 7.421300563963617808e-04 1.640829696328206149e-04
-1.460994598058963675e+03 3.768417658729616136e-04 1.517154216348783665e-03 9.469979911108726122e-04
-1.459994567539522677e+03 -1.014153089149460633e-04 1.512089630535780804e-03 7.053371608104173907e-04
-1.458994537020081680e+03 -9.795396369414561763e-05 1.048456730769239736e-03 4.752513835375470389e-04
-1.457994506500640910e+03 6.089948195066468054e-05 1.050167097460321134e-03 5.555332897054928668e-04
-1.456994475981200139e+03 3.785966775955521826e-04 1.352921005856296552e-03 8.657588417259243132e-04
-1.455994445461759142e+03 5.356855158730412705e-04 -4.470513576162024112e-05 2.454901900557104910e-04
-1.454994414942318144e+03 5.356855158730412705e-04 -6.674116398360256577e-04 -6.586306198149219360e-05
-1.453994384422877374e+03 6.980972631872984059e-04 -8.126122698716346879e-04 -5.725750334216814100e-05
-1.452994353903436604e+03 1.167473127268944984e-03 1.161833576461129293e-04 6.418282424575289836e-04
-1.451994323383995606e+03 2.143912359792001030e-04 1.144254807692001021e-04 1.644083583742001094e-04
-1.450994292864554609e+03 -9.787639853524832351e-05 4.257692307691367598e-04 1.639464161169442249e-04
-1.449994262345113839e+03 2.161752346364541289e-04 1.126390977807372460e-04 1.644071662085957010e-04
-1.448994231825673069e+03 -4.192094610084823965e-04 -4.124639423076653937e-05 -2.302279276196244544e-04
-1.447994201306232071e+03 -5.762207341269651737e-04 -4.485716835638304156e-05 -3.105389512416740941e-04
-1.446994170786791074e+03 -4.136732477843735670e-04 -3.507752551306902848e-04 -3.822242514575318988e-04
-1.445994140267350303e+03 5.729270205687134383e-05 -3.544145353678601769e-04 -1.485609166554944030e-04
-1.444994109747909533e+03 -2.585332341270263324e-04 -5.119298055792596011e-04 -3.852315198531429397e-04
-1.443994079228468536e+03 6.291617608482738858e-05 -1.286621394230742831e-03 -6.118526090729577279e-04
-1.442994048709027538e+03 3.768417658730718227e-04 -1.127243724733357523e-03 -3.752009794301428502e-04
-1.441994018189586768e+03 5.318848230817334582e-04 -1.876062728015137659e-04 1.721392751401098326e-04
-1.440993987670145998e+03 -2.623533182080121321e-04 7.333691781232237359e-04 2.355079299576058019e-04
-1.439993957150705000e+03 -7.350644841269346214e-04 1.125440774090105016e-04 -3.112602033589620463e-04
-1.438993926631264003e+03 -5.742913007966484341e-04 -4.502820502556198115e-05 -3.096597529111052042e-04
-1.437993896111823233e+03 -9.581122617663262030e-05 -3.506897367961716032e-04 -2.232504814864021050e-04
-1.436993865592382463e+03 3.787905904930677966e-04 1.163353902408723891e-04 2.475629903669700725e-04
-1.435993835072941465e+03 3.709662050783466914e-04 1.144254807692034767e-04 2.426958429237750705e-04
-1.434993804553500468e+03 -4.193452000368155666e-04 -4.510422132294338477e-05 -2.322247106798794791e-04
-1.433993774034059697e+03 -4.134211610176767560e-04 -8.234826003971774510e-04 -6.184518807074271306e-04
-1.432993743514618927e+03 5.915426587302274517e-05 -1.292465147091833091e-03 -6.166554406094052138e-04
-1.431993712995177930e+03 -9.968948412705689818e-05 -1.905394054915695396e-03 -1.002541769521376113e-03
-1.430993682475736932e+03 6.116126436234708291e-05 -1.282687550841184534e-03 -6.107631432394187597e-04
-1.429993651956296162e+03 5.713757173885872931e-05 -6.599810467669204369e-04 -3.014217375140308707e-04
-1.428993621436855392e+03 -1.017158739060591691e-04 -1.949323434616828785e-04 -1.483241086838710102e-04
