# time[us], force_in[kN], force_out[kN], force_avg[kN]
-1.507996032472685101e+03 -1.404322271825392959e-02 -5.252735546676398724e-04 -7.284248136460784624e-03
-1.506996001953244104e+03 -1.420333659773277517e-02 -1.147970556704835552e-03 -7.675653577218805035e-03
-1.505995971433803334e+03 -1.436091021825398190e-02 -1.147980058741972058e-03 -7.754445138497977411e-03
-1.504995940914362563e+03 -1.467988723902235830e-02 -1.458069539835227723e-03 -8.068978389428792253e-03
-1.503995910394921566e+03 -1.467859771825391624e-02 -1.458069539835227723e-03 -8.068333629044572089e-03
-1.502995879875480568e+03 -1.515512896825393571e-02 -1.611175864798503055e-03 -8.383152416526219383e-03
-1.501995849356039798e+03 -1.467727911055081123e-02 -6.784178877796777406e-04 -7.677848499165244867e-03
-1.500995818836599028e+03 -1.451842566490600325e-02 -8.353820398351306017e-04 -7.676903852370567036e-03
-1.499995788317158031e+03 -1.436224821724683791e-02 -6.797101648351616156e-04 -7.520979191040999545e-03
-1.498995757797717033e+03 -1.468129310752945907e-02 -5.227175066681553645e-04 -7.602005307098807542e-03
-1.497995727278276263e+03 -1.531261532797140688e-02 -6.850313056518603835e-04 -7.998823316811632875e-03
-1.496995696758835493e+03 -1.499628521825396854e-02 -1.615081202076508720e-03 -8.305683210165238847e-03
-1.495995666239394495e+03 -1.515650574982630068e-02 -1.923735875556615476e-03 -8.540120812691457536e-03
-1.494995635719953498e+03 -1.531258624103674568e-02 -1.459428331150955859e-03 -8.386007286093850877e-03
-1.493995605200512728e+03 -1.499628521825396854e-02 -1.923716871482270040e-03 -8.460001044868119616e-03
-1.492995574681071957e+03 -1.499769108676092186e-02 -1.612363619445194478e-03 -8.305027353103058493e-03
-1.491995544161630960e+03 -1.499345408995023977e-02 -9.896666174079985813e-04 -7.991560353679118961e-03
-1.490995513642189962e+03 -1.436091021825398537e-02 -1.149519388764017177e-03 -7.755214803509001380e-03
-1.489995483122749192e+03 -1.435947526281236911e-02 -1.929304069339803605e-03 -8.144389666076086789e-03
-1.488995452603308422e+03 -1.404033341608102066e-02 -2.861948021912556414e-03 -8.451140718996788537e-03
-1.487995422083867425e+03 -1.372698956498524976e-02 -3.326132039835188407e-03 -8.526560802410218867e-03
-1.486995391564426427e+03 -1.388291492587757220e-02 -3.009049059382701199e-03 -8.445981992630136048e-03
-1.485995361044985657e+03 -1.340784771825394642e-02 -1.453736610884376682e-03 -7.430792164569161549e-03
-1.484995330525544887e+03 -1.356669146825391359e-02 -1.146725789835179379e-03 -7.356708629044546484e-03
-1.483995300006103889e+03 -1.340934084756481397e-02 -8.353820398351307101e-04 -7.122361443699972393e-03
-1.482995269486662892e+03 -1.404923401807706314e-02 -1.148198605596980346e-03 -7.598716311837021634e-03
-1.481995238967222122e+03 -1.515664148885467050e-02 -1.305362300433133681e-03 -8.231001894643902306e-03
-1.480995208447781351e+03 -1.531092828576309343e-02 -2.085232499343329070e-03 -8.698080392553210818e-03
-1.479995177928340354e+03 -1.451822205636357603e-02 -2.857615092961888602e-03 -8.687918574662731666e-03
-1.478995147408899356e+03 -1.435782700318341022e-02 -2.077735392014232532e-03 -8.217781197598821377e-03
-1.477995116889458586e+03 -1.404477402143405711e-02 -1.922044512939879730e-03 -7.983409267186969069e-03
-1.476995086370017816e+03 -1.452443696472884710e-02 -1.305457320804789736e-03 -7.914947142766817767e-03
-1.475995055850576819e+03 -1.531554341272389416e-02 -1.928163824879083540e-03 -8.621853618801487984e-03
-1.474995025331135821e+03 -1.547281646825398801e-02 -2.390551957775970387e-03 -8.931684213014979418e-03
-1.473994994811695051e+03 -1.547122638249436022e-02 -2.080757039835103885e-03 -8.775991711164731618e-03
-1.472994964292254281e+03 -1.499148587404056272e-02 -2.076053531434736508e-03 -8.533769702737649399e-03
-1.471994933772813283e+03 -1.420206646825401473e-02 -1.145148451664513862e-03 -7.673607459959264077e-03
-1.470994903253372286e+03 -1.420206646825401473e-02 -8.337951996272585393e-04 -7.517930833940636957e-03
-1.469994872733931516e+03 -1.420043759991488318e-02 -5.224419475901830858e-04 -7.361439773752533403e-03
-1.468994842214490745e+03 -1.404813841020584667e-02 -3.699722591173701261e-04 -7.209055334661608125e-03
-1.467994811695049748e+03 -1.499958173751173712e-02 -8.353820398351306017e-04 -7.917481888673433971e-03
-1.466994781175608750e+03 -1.547281646825398801e-02 -6.813350131917244408e-04 -8.077075740722855848e-03
-1.465994750656167980e+03 -1.530896976549811495e-02 -8.321133390477304225e-04 -8.070541552272922359e-03
-1.464994720136727210e+03 -1.468027506481739235e-02 -3.716541196968982429e-04 -7.525964592257145674e-03
-1.463994689617286213e+03 -1.483744146825388514e-02 -9.910539148350995878e-04 -7.914247691544492799e-03
-1.462994659097845215e+03 -1.468029445610721795e-02 -1.305723377845656409e-03 -7.993008916976436853e-03
-1.461994628578404445e+03 -1.531909201874842932e-02 -1.300725306292757405e-03 -8.309908662520593473e-03
-1.460994598058963675e+03 -1.594591545996794021e-02 -1.304079525414787071e-03 -8.624997492691363968e-03
-1.459994567539522677e+03 -1.515167731867815906e-02 -1.613741414835197360e-03 -8.382709366756677452e-03
-1.458994537020081680e+03 -1.451801844782115401e-02 -1.297295070873314771e-03 -7.907656759347235151e-03
-1.457994506500640910e+03 -1.468034293433156424e-02 -5.223279231441114480e-04 -7.601335428737837629e-03
-1.456994475981200139e+03 -1.483568655653141020e-02 -6.831499022915994831e-04 -7.759418229411505115e-03
-1.455994445461759142e+03 -1.451975396825395601e-02 -1.302397664835148582e-03 -7.911075816544552511e-03
-1.454994414942318144e+03 -1.467682341524161917e-02 -8.336431670324961386e-04 -7.755233291137057436e-03
-1.453994384422877374e+03 -1.436269421691113019e-02 -6.797101648351620493e-04 -7.521202190873146551e-03
-1.452994353903436604e+03 -1.436091021825398537e-02 -8.388977935889512958e-04 -7.599904005921468385e-03
-1.451994323383995606e+03 -1.435910682830708780e-02 -1.304165043749376876e-03 -7.831635936028232339e-03
-1.450994292864554609e+03 -1.420025338266220696e-02 -1.771190170786492548e-03 -7.985721776724349213e-03
-1.449994262345113839e+03 -1.420388924949054880e-02 -1.923298781846673059e-03 -8.063594015668610823e-03
-1.448994231825673069e+03 -1.452158644513543671e-02 -1.617333184886398170e-03 -8.069459815010917442e-03
-1.447994201306232071e+03 -1.467859771825391971e-02 -2.234623527772265812e-03 -8.456610623013092326e-03
-1.446994170786791074e+03 -1.484114520459662266e-02 -1.765783511635134152e-03 -8.303464358115878949e-03
-1.445994140267350303e+03 -1.498883896298936619e-02 -1.461718322109535747e-03 -8.225278642549450209e-03
-1.444994109747909533e+03 -1.388250770879286174e-02 -1.926919058009426934e-03 -7.904713383401144877e-03
-1.443994079228468536e+03 -1.388625992335986575e-02 -1.921398374412137955e-03 -7.903829148886001854e-03
